Prediction window [minutes],Subject ID,Brain F1 score,Number of ICs
5.0,1,0.8461538461538461,389
5.0,2,0.8108108108108109,389
5.0,3,0.8750000000000001,389
5.0,4,0.8571428571428571,389
5.0,5,0.888888888888889,389
5.0,6,0.8571428571428571,389
5.0,7,0.9433962264150945,389
5.0,8,0.9032258064516129,389
5.0,9,0.5217391304347825,389
5.0,10,0.888888888888889,389
5.0,11,0.8727272727272728,389
5.0,12,0.8181818181818182,389
10.0,1,0.8679245283018867,389
10.0,2,0.8421052631578948,389
10.0,3,0.8750000000000001,389
10.0,4,0.8823529411764706,389
10.0,5,0.8636363636363636,389
10.0,6,0.9130434782608695,389
10.0,7,1.0,389
10.0,8,0.9032258064516129,389
10.0,9,0.45454545454545453,389
10.0,10,0.90625,389
10.0,11,0.8727272727272728,389
10.0,12,0.8695652173913043,389
15.0,1,0.888888888888889,389
15.0,2,0.8421052631578948,389
15.0,3,0.8750000000000001,389
15.0,4,0.8823529411764706,389
15.0,5,0.8636363636363636,389
15.0,6,0.888888888888889,389
15.0,7,1.0,389
15.0,8,0.9032258064516129,389
15.0,9,0.45454545454545453,389
15.0,10,0.923076923076923,389
15.0,11,0.8727272727272728,389
15.0,12,0.9166666666666666,389
20.0,1,0.8461538461538461,389
20.0,2,0.8108108108108109,389
20.0,3,0.9090909090909091,389
20.0,4,0.8823529411764706,389
20.0,5,0.888888888888889,389
20.0,6,0.888888888888889,389
20.0,7,1.0,389
20.0,8,0.9032258064516129,389
20.0,9,0.45454545454545453,389
20.0,10,0.955223880597015,389
20.0,11,0.8727272727272728,389
20.0,12,0.9166666666666666,389
25.0,1,0.8679245283018867,389
25.0,2,0.8421052631578948,389
25.0,3,0.9090909090909091,389
25.0,4,0.9090909090909091,389
25.0,5,0.888888888888889,389
25.0,6,0.9130434782608695,389
25.0,7,0.9795918367346939,389
25.0,8,0.9032258064516129,389
25.0,9,0.5833333333333334,389
25.0,10,0.9705882352941176,389
25.0,11,0.8727272727272728,389
25.0,12,0.9166666666666666,389
30.0,1,0.8679245283018867,389
30.0,2,0.8421052631578948,389
30.0,3,0.8823529411764706,389
30.0,4,0.9090909090909091,389
30.0,5,0.888888888888889,389
30.0,6,0.9130434782608695,389
30.0,7,0.9795918367346939,389
30.0,8,0.9032258064516129,389
30.0,9,0.5217391304347825,389
30.0,10,0.9705882352941176,389
30.0,11,0.8727272727272728,389
30.0,12,0.9166666666666666,389
35.0,1,0.8679245283018867,389
35.0,2,0.8421052631578948,389
35.0,3,0.8823529411764706,389
35.0,4,0.9090909090909091,389
35.0,5,0.888888888888889,389
35.0,6,0.9333333333333333,389
35.0,7,0.9795918367346939,389
35.0,8,0.9032258064516129,389
35.0,9,0.5833333333333334,389
35.0,10,0.9855072463768115,389
35.0,11,0.8727272727272728,389
35.0,12,0.8181818181818182,389
40.0,1,0.8235294117647057,389
40.0,2,0.8421052631578948,389
40.0,3,0.8484848484848485,389
40.0,4,0.9090909090909091,389
40.0,5,0.888888888888889,389
40.0,6,0.9333333333333333,389
40.0,7,0.9795918367346939,389
40.0,8,0.9411764705882353,389
40.0,9,0.5833333333333334,389
40.0,10,0.9855072463768115,389
40.0,11,0.8928571428571429,389
40.0,12,0.8695652173913043,389
45.0,1,0.8461538461538461,389
45.0,2,0.8421052631578948,389
45.0,3,0.8484848484848485,389
45.0,4,0.9090909090909091,389
45.0,5,0.888888888888889,389
45.0,6,0.9333333333333333,389
45.0,7,0.9795918367346939,389
45.0,8,0.9411764705882353,389
45.0,9,0.5833333333333334,389
45.0,10,0.9855072463768115,389
45.0,11,0.8928571428571429,389
45.0,12,0.8695652173913043,389
50.0,1,0.8679245283018867,389
50.0,2,0.8421052631578948,389
50.0,3,0.8484848484848485,389
50.0,4,0.9090909090909091,389
50.0,5,0.888888888888889,389
50.0,6,0.9333333333333333,389
50.0,7,0.9795918367346939,389
50.0,8,0.9411764705882353,389
50.0,9,0.5833333333333334,389
50.0,10,0.9855072463768115,389
50.0,11,0.912280701754386,389
50.0,12,0.8695652173913043,389
